          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
   52Cr + 147Sm ---> 199Rn IFUS10 barfac0.67 18/03/2022 09:17 (Sitarcik)
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert  -133.429 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=    0.00
          Rn  193   Rn  194   Rn  195   Rn  196   Rn  197   Rn  198   Rn  199
             -0.15      0.68     -0.08      0.69     -0.26      0.17     -1.00
          At  192   At  193   At  194   At  195   At  196   At  197   At  198
             -0.87     -0.14     -1.13     -0.62     -1.72     -1.28     -2.45
          Po  191   Po  192   Po  193   Po  194   Po  195   Po  196   Po  197
             -0.63     -0.03     -1.07     -0.55     -1.65     -1.22     -2.38

           BARFAC=   0.670      BAR0=   0.000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Rn  193   Rn  194   Rn  195   Rn  196   Rn  197   Rn  198   Rn  199
              9.44     10.84      9.09     10.52      8.92     10.49      8.78
              0.94      1.07      1.09      1.08      1.18      1.42      1.67
             -8.15     -8.21     -8.26     -8.32     -8.25     -8.05     -7.83
              3.60      2.91      3.82      3.19      4.29      4.00      5.30
             -0.79      0.00     -0.79      0.00     -0.78      0.00     -0.78
          At  192   At  193   At  194   At  195   At  196   At  197   At  198
              9.25     10.70      9.07     10.54      8.82     10.25      8.54
             -0.82     -0.71     -0.49     -0.23      0.02      0.27      0.52
             -8.59     -8.53     -8.34     -8.14     -7.92     -7.71     -7.48
              4.99      4.42      5.56      5.20      6.45      6.16      7.47
             -1.59     -0.79     -1.58     -0.79     -1.57     -0.78     -1.56
          Po  191   Po  192   Po  193   Po  194   Po  195   Po  196   Po  197
              9.14     10.58      8.85     10.29      8.56     10.00      8.29
              1.01      1.26      1.51      1.76      2.01      2.26      2.51
             -8.47     -8.26     -8.03     -7.82     -7.59     -7.38     -7.15
              5.47      5.04      6.24      5.88      7.14      6.85      8.16
             -0.80      0.00     -0.79      0.00     -0.79      0.00     -0.78

 benutzter Q-Wert  -133.429 MeV    effektiver Q-Wert  -133.429 MeV

 HIVAP  CASOUT

   52Cr + 147Sm ---> 199Rn IFUS10 barfac0.67 18/03/2022 09:17 (Sitarcik)


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   207.704    3.99    20.0  0.1089E-01  0.2189E-04  0.1087E-01     0.0       99.80
   209.057    4.02    21.0  0.3780E-01  0.6086E-04  0.3774E-01     0.0       99.84
   210.411    4.05    22.0  0.1045E+00  0.1304E-03  0.1044E+00     0.0       99.87
   211.765    4.07    23.0  0.2466E+00  0.2408E-03  0.2464E+00     0.0       99.90
   213.119    4.10    24.0  0.5177E+00  0.4139E-03  0.5172E+00     0.0       99.92
   214.472    4.12    25.0  0.9914E+00  0.6934E-03  0.9907E+00     0.0       99.93
   215.826    4.15    26.0  0.1772E+01  0.1142E-02  0.1770E+01     0.0       99.93
   217.180    4.18    27.0  0.2993E+01  0.1802E-02  0.2991E+01     0.0       99.94
   218.534    4.20    28.0  0.4820E+01  0.2654E-02  0.4817E+01     0.0       99.94
   219.887    4.23    29.0  0.7432E+01  0.3606E-02  0.7428E+01     0.0       99.95
   221.241    4.25    30.0  0.1102E+02  0.4515E-02  0.1102E+02     6.0       99.96
   222.595    4.28    31.0  0.1578E+02  0.5257E-02  0.1578E+02    17.0       99.96
   223.949    4.31    32.0  0.2189E+02  0.5760E-02  0.2188E+02    23.0       99.97
   225.302    4.33    33.0  0.2950E+02  0.6027E-02  0.2950E+02    28.0       99.98
   226.656    4.36    34.0  0.3872E+02  0.6142E-02  0.3871E+02    32.0       99.98
   228.010    4.38    35.0  0.4962E+02  0.6219E-02  0.4960E+02    36.0       99.97

     Querschnitte / mbarn

  E*/MeV   193Rn     194Rn     195Rn     196Rn     197Rn     198Rn     199Rn  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.649E-10 0.412E-06 0.000E+00
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.439E-08 0.653E-06 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.916E-07 0.808E-06 0.000E+00
